School,Group,Description,URL,Code,Group_Code,summary
Naveen Jindal School of Management,Accounting,"ACCT 6009 Accounting Internship (0 semester credit hours) Student gains experience and improves skills through appropriate developmental work assignments in a real business environment. Student must identify and submit specific business learning objectives at the beginning of the semester. The student must demonstrate exposure to the managerial perspective via involvement or observation. At semester end, student prepares an oral or poster presentation, or a written paper reflecting on the work experience. Student performance is evaluated by the work supervisor. Pass/Fail only. Prerequisites: ( MAS 6102 or ACCT 6388 or MBA major) and department consent required. (0-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6009,ACCT 6009,ACCT,"{""course_code"": ""ACCT 6009"", ""course_title"": ""Accounting Internship"", ""credit_hours"": ""0""}"
Naveen Jindal School of Management,Accounting,ACCT 6193 Professional Accounting - Regulation - Pre CPA Evolution (1 semester credit hour) This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisites: ( ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area) and ACCT 6353 . (1-0) R,https://catalog.utdallas.edu/2025/graduate/courses/acct6193,ACCT 6193,ACCT,"{""course_code"": ""ACCT 6193"", ""course_title"": ""Professional Accounting - Regulation - Pre CPA Evolution"", ""credit_hours"": ""1 semester credit hour""}"
Naveen Jindal School of Management,Accounting,ACCT 6194 Professional Accounting - Business (1 semester credit hour) This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisite: ACCT 6331 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (1-0) R,https://catalog.utdallas.edu/2025/graduate/courses/acct6194,ACCT 6194,ACCT,"{""course_code"": ""ACCT 6194"", ""course_title"": ""Professional Accounting - Business"", ""credit_hours"": ""1 semester credit hour""}"
Naveen Jindal School of Management,Accounting,"ACCT 6195 Professional Accounting Practicum (1 semester credit hour) This course is a practicum focused on preparation for the Certified Public Accountant Exam. This course will review testing strategies, enhance application skills, and supplement various exam topics through the use of in-class quizzes and problem-solving activities. Department consent required. Corequisite: ACCT 6193 or ACCT 6194 or ACCT 6291 or ACCT 6292 . (1-0) R",https://catalog.utdallas.edu/2025/graduate/courses/acct6195,ACCT 6195,ACCT,"{""course_code"": ""ACCT 6195"", ""course_title"": ""Professional Accounting Practicum"", ""credit_hours"": ""1 semester credit hour""}"
Naveen Jindal School of Management,Accounting,"ACCT 6202 Accounting for Managerial Decision Making and Control (2 semester credit hours) This course presents a framework to identify, measure, analyze, interpret, and communicate information in pursuit of an organization's goals by managing resources, activities, and people effectively and efficiently. In particular, the course discusses various managerial accounting and cost management practices that can be strategically applied across various business functions of an organization to improve organizational performance. This course cannot be used for MS Accounting degree credit. (2-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6202,ACCT 6202,ACCT,"{""course_code"": ""ACCT 6202"", ""course_title"": ""Accounting for Managerial Decision Making and Control"", ""credit_hours"": ""2""}"
Naveen Jindal School of Management,Accounting,"ACCT 6291 Professional Accounting - Financial (2 semester credit hours) This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisites: (( ACCT 6330 and ACCT 6332 ) or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area), and ( ACCT 6333 or ACCT 6365 ). (2-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6291,ACCT 6291,ACCT,"{""course_code"": ""ACCT 6291"", ""course_title"": ""Professional Accounting - Financial"", ""credit_hours"": ""2""}"
Naveen Jindal School of Management,Accounting,"ACCT 6292 Professional Accounting - Audit (2 semester credit hours) This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisites: ( ACCT 6334 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area), and ACCT 6335 . (2-0) R",https://catalog.utdallas.edu/2025/graduate/courses/acct6292,ACCT 6292,ACCT,"{""course_code"": ""ACCT 6292"", ""course_title"": ""Professional Accounting - Audit"", ""credit_hours"": ""2""}"
Naveen Jindal School of Management,Accounting,ACCT 6293 Professional Accounting - Regulation (2 semester credit hours) This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisites: ( ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area) and ACCT 6353 . (2-0) R,https://catalog.utdallas.edu/2025/graduate/courses/acct6293,ACCT 6293,ACCT,"{""course_code"": ""ACCT 6293"", ""course_title"": ""Professional Accounting - Regulation"", ""credit_hours"": ""2""}"
Naveen Jindal School of Management,Accounting,"ACCT 6301 Financial Accounting (3 semester credit hours) This course focuses on the development, analysis and use of the information contained in financial statements. It discusses what the financial statements contain, what assumptions and concepts accountants use to prepare them, and why they use those assumptions and concepts. May not be used to fulfill degree requirements in MS Accounting program. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6301,ACCT 6301,ACCT,"{""course_code"": ""ACCT 6301"", ""course_title"": ""Financial Accounting"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6305 ( SYSM 6337 ) Accounting for Managers (3 semester credit hours) Fundamental concepts in accounting and financial reporting are presented from the perspective of business managers. May not be used to fulfill degree requirements in MS Accounting. Credit cannot be received for both courses, ( ACCT 6301 or ACCT 6202 ) and ACCT 6305 . (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6305,ACCT 6305,ACCT,"{""course_code"": ""ACCT 6305"", ""course_title"": ""Accounting for Managers"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6309 ( MIS 6309 ) Business Data Warehousing (3 semester credit hours) Provides in-depth knowledge of data warehousing principles, data warehouse techniques, and business intelligence systems. Discusses the topics of data warehouse design, Extract-Transform-Load (ETL), data cubes, and data marts. Will create business intelligence using data warehouses with several OLAP and analytical tools. SAP, Business Objects, Cognos, or other data warehousing tools will be used to illustrate data warehousing concepts. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6309,ACCT 6309,ACCT,"{""course_code"": ""ACCT 6309"", ""course_title"": ""Business Data Warehousing"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6313 ( MIS 6330 ) Cybersecurity Fundamentals (3 semester credit hours) This course prepares business decision makers to recognize the threats and vulnerabilities present in current information systems and how to design and develop secure systems. This course introduces the concept of defense-in-depth and covers different layers in a typical security architecture. Topics include security risk management, cyber laws related to security and privacy, access controls, network security, host security, detective controls, cryptography, and communications security. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6313,ACCT 6313,ACCT,"{""course_code"": ""ACCT 6313"", ""course_title"": ""Cybersecurity Fundamentals"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6320 ( MIS 6320 and OPRE 6393 ) Database Foundations (3 semester credit hours) This course provides essential database knowledge for non-MIS business students. It covers conceptual data modeling with entity-relationship diagrams, relational data models, database queries, and data warehousing basics. Structured Query Language (SQL) is extensively used. The course emphasizes database applications in accounting, finance, marketing, and other business areas. May not be used to fulfill degree requirements in MS Information Technology and Management. Credit cannot be received for more than one of the following: ACCT 6320 or ACCT 6321 or BUAN 6320 or MIS 6320 or MIS 6326 or OPRE 6393 . (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6320,ACCT 6320,ACCT,"{""course_code"": ""ACCT 6320"", ""course_title"": ""Database Foundations"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6321 Database Applications for Business Analytics in Accounting (3 semester credit hours) This course develops an understanding of the role of databases in accounting, including Structured Query Language (SQL), NoSQL and other databases deemed appropriate. Students learn how to effectively query SQL and NoSQL databases and use analytics tools to present accounting information. Topics include ER models, SQL, PL/SQL, query optimization, NoSQL database types, and NoSQL querying. Accounting applications will be emphasized. Prerequisite or Corequisite: ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6321,ACCT 6321,ACCT,"{""course_code"": ""ACCT 6321"", ""course_title"": ""Database Applications for Business Analytics in Accounting"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6330 Intermediate Financial Accounting I (3 semester credit hours) A study of external financial reporting, including revenue recognition and the measurement and reporting of cash, receivables, inventories, property, plant, and equipment, and intangibles. Financial statement presentation issues are analyzed to gain an appreciation for the impact of generally accepted accounting principles on business decisions. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6330,ACCT 6330,ACCT,"{""course_code"": ""ACCT 6330"", ""course_title"": ""Intermediate Financial Accounting I"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6331 Cost Accounting with Integrated Data Analytics (3 semester credit hours) This course offers a thorough examination of the essential role that cost accounting plays within organizational operations, spanning aspects like planning, decision-making, and control. By delving into a structured analysis of costs, planning strategies, control mechanisms, and performance assessment, participants acquire valuable knowledge to improve resource allocation, facilitate informed decision-making, and elevate overall organizational effectiveness. Students learn how to leverage data-driven insights to enhance their understanding of cost structures, identify cost-saving opportunities, and make informed decisions. They gain proficiency in using advanced software tools to analyze financial data, allowing them to uncover hidden trends, optimize resource allocation, and improve cost control measures. By integrating data analytics, this course equips students with the skills necessary to excel in the dynamic world of cost accounting, where data-driven decision-making is a fundamental aspect of success. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6331,ACCT 6331,ACCT,"{""course_code"": ""ACCT 6331"", ""course_title"": ""Cost Accounting with Integrated Data Analytics"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6332 Intermediate Financial Accounting II (3 semester credit hours) This course is a continuation of topics in external financial reporting, including: issues related to the measurement and reporting of current liabilities and contingencies, bonds, leases, deferred taxes, pensions, stock-based compensation plans, shareholders equity, earnings per share, accounting changes, and cash flows. Current generally accepted accounting principles for financial reporting are analyzed. Prerequisite: ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6332,ACCT 6332,ACCT,"{""course_code"": ""ACCT 6332"", ""course_title"": ""Intermediate Financial Accounting II"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6333 Advanced Financial Reporting (3 semester credit hours) The application of accounting principles in complex settings is studied. Topics include accounting for business combinations, consolidated entities, not-for-profits, transactions in foreign currency, financial statement reporting, and translation of financial statements reported in foreign currency. Prerequisite: ACCT 6332 or (an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area). (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6333,ACCT 6333,ACCT,"{""course_code"": ""ACCT 6333"", ""course_title"": ""Advanced Financial Reporting"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6334 Auditing (3 semester credit hours) This course introduces the basic concepts, philosophy, standards, procedures, and practices of auditing. Topics include generally accepted auditing standards, the role of the independent auditor, professional conduct and ethics, auditor's reporting responsibilities, risk assessment, internal control, evidential matter, and management fraud. Prerequisite: ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6334,ACCT 6334,ACCT,"{""course_code"": ""ACCT 6334"", ""course_title"": ""Auditing"", ""credit_hours"": ""3""}"
